"","organisation_name","organisation_id","change_disc_inel_hh","change_disc_el_hh","net_change_hh","no_hholds_discretionary_v.x","no_hholds_discretionary_ineligible_v.x","no_hholds_discretionary_v.y","no_hholds_discretionary_ineligible_v.y"
"25","Barking and Dagenham London Borough","E09000002",0,0,0,NA,NA,NA,NA
"26","Dorset Council (UA)","E06000059",1,-1,0,NA,NA,NA,NA
"27","Central Bedfordshire UA","E06000056",2,-2,0,NA,NA,NA,NA
"28","Tamworth Borough Council","E07000199",0,0,0,NA,NA,NA,NA
"29","Chesterfield Borough Council","E07000034",15,-9,6,NA,NA,NA,NA
"30","Gravesham Borough Council","E07000109",1,-1,0,NA,NA,NA,NA
"31","Oxford City Council","E07000178",0,-2,-2,NA,NA,NA,NA
"32","Lambeth London Borough","E09000022",0,0,0,NA,NA,NA,NA
"33","Guildford Borough Council","E07000209",0,0,0,NA,NA,NA,NA
"34","Gosport Borough Council","E07000088",0,0,0,NA,NA,NA,NA
"35","Selby District Council","E07000169",0,0,0,NA,NA,NA,NA
"36","Thurrock Council","E06000034",0,-69,-69,NA,NA,NA,NA
"37","Broxtowe Borough Council","E07000172",0,0,0,NA,NA,NA,NA
"38","Ipswich Borough Council","E07000202",2,-2,0,NA,NA,NA,NA
"39","Hart District Council","E07000089",35,-11,24,NA,NA,NA,NA
"40","Waverley Borough Council","E07000216",0,-2,-2,NA,NA,NA,NA
"41","Bedford UA","E06000055",2,-2,0,NA,NA,NA,NA
"42","Eastbourne Borough Council","E07000061",0,276,276,"Payments sent to customers by letter to claim at post office. They were issued before deadline but not cashed until after",NA,"Payments sent to customers by letter to claim at post office. They were issued before deadline but not cashed until after",NA
"43","Telford and Wrekin Council","E06000020",2,0,2,NA,NA,NA,NA
"44","Lincoln City Council","E07000138",0,0,0,NA,NA,NA,NA
"45","Greenwich London Borough","E09000011",7,-7,0,NA,NA,NA,NA
"46","Braintree District Council","E07000067",0,0,0,NA,NA,NA,NA
"47","South Oxfordshire District Council","E07000179",0,-2,-2,NA,NA,NA,NA
"48","Boston Borough Council","E07000136",0,0,0,NA,NA,NA,NA
"49","Gloucester City Council","E07000081",0,-1,-1,NA,NA,NA,NA
"50","Isle of Wight Council","E06000046",1,-6,-5,NA,NA,NA,NA
"51","Warwick District Council","E07000222",0,0,0,NA,NA,NA,NA
"52","Kingston upon Thames Royal Borough","E09000021",0,-15,-15,NA,NA,NA,NA
"53","Brentwood Borough Council","E07000068",0,-1,-1,NA,NA,NA,NA
"54","Dacorum Borough Council","E07000096",1,-1,0,NA,NA,NA,NA
"55","Slough Borough Council","E06000039",0,0,0,NA,NA,NA,NA
"56","Wolverhampton City Council","E08000031",0,0,0,NA,NA,NA,NA
"57","Shropshire County UA","E06000051",0,0,0,NA,NA,NA,NA
"58","Maidstone Borough Council","E07000110",8,-210,-202,NA,NA,NA,NA
"59","Amber Valley Borough Council","E07000032",0,0,0,NA,NA,NA,NA
"60","Oadby and Wigston Borough Council","E07000135",0,0,0,NA,NA,NA,NA
"61","East Riding of Yorkshire Council","E06000011",0,0,0,NA,NA,NA,NA
"62","West Northamptonshire Council","E06000062",8,0,8,NA,NA,NA,NA
"63","South Holland District Council","E07000140",0,0,0,NA,NA,NA,NA
"64","Windsor and Maidenhead Royal Borough Council","E06000040",0,0,0,NA,NA,NA,NA
"65","Stroud District Council","E07000082",0,0,0,NA,NA,NA,NA
"66","Redbridge London Borough","E09000026",0,0,0,NA,NA,NA,NA
"67","Rushcliffe Borough Council","E07000176",0,0,0,NA,NA,NA,NA
"68","Bracknell Forest Council","E06000036",NA,NA,NA,NA,NA,NA,NA
"69","Stockton-on-Tees Borough Council","E06000004",0,0,0,NA,NA,NA,NA
"70","Harrogate Borough Council","E07000165",8,-7,1,NA,NA,NA,NA
"71","Gedling Borough Council","E07000173",6,-22,-16,NA,NA,NA,NA
"72","Sefton Metropolitan Borough Council","E08000014",0,-26,-26,NA,NA,NA,NA
"73","Cheltenham Borough Council","E07000078",2,-2,0,NA,NA,NA,NA
"74","Leicester City Council","E06000016",0,0,0,NA,NA,NA,NA
"75","Dover District Council","E07000108",0,0,0,NA,NA,NA,NA
"76","Halton Borough Council","E06000006",1,-1,0,NA,NA,NA,NA
"77","North Tyneside Council","E08000022",0,0,0,NA,NA,NA,NA
"78","Broadland District Council","E07000144",0,0,0,NA,NA,NA,NA
"79","Camden London Borough","E09000007",0,0,0,NA,NA,NA,NA
"80","Bassetlaw District Council","E07000171",0,0,0,NA,NA,NA,NA
"81","Dartford Borough Council","E07000107",4,-4,0,NA,NA,NA,NA
"82","Luton Borough Council","E06000032",30,-30,0,NA,NA,NA,NA
"83","Solihull Metropolitan Borough Council","E08000029",0,0,0,NA,NA,NA,NA
"84","Forest of Dean District Council","E07000080",0,0,0,NA,NA,NA,NA
"85","Sheffield City Council","E08000019",0,-3,-3,NA,NA,NA,NA
"86","Sevenoaks District Council","E07000111",5,-5,0,NA,NA,NA,NA
"87","North East Lincolnshire Council","E06000012",0,0,0,NA,NA,NA,NA
"88","Southend-on-Sea City Council","E06000033",0,0,0,NA,NA,NA,NA
"89","High Peak Borough Council","E07000037",0,-4,-4,NA,NA,NA,NA
"90","North Hertfordshire District Council","E07000099",NA,NA,NA,NA,NA,NA,NA
"91","Erewash Borough Council","E07000036",4,-5,-1,NA,NA,NA,NA
"92","Wychavon District Council","E07000238",1,-1,0,NA,NA,NA,NA
"93","Torbay Council","E06000027",3,0,3,NA,NA,NA,NA
"94","Chorley Borough Council","E07000118",0,0,0,NA,NA,NA,NA
"95","Dudley Metropolitan Borough Council","E08000027",5,-5,0,NA,NA,NA,NA
"96","East Lindsey District Council","E07000137",1,-1,0,NA,NA,NA,NA
"97","Torridge District Council","E07000046",0,0,0,NA,NA,NA,NA
"98","Cherwell District Council","E07000177",0,0,0,NA,NA,NA,NA
"99","Gateshead Metropolitan Borough Council","E08000037",5,-10,-5,NA,NA,NA,NA
"100","Haringey London Borough","E09000014",2,-3,-1,NA,NA,NA,NA
"101","Isles of Scilly Council","E06000053",0,-1,-1,NA,NA,NA,NA
"102","Carlisle City Council","E07000028",2,0,2,NA,NA,NA,NA
"103","Folkestone and Hythe District Council","E07000112",0,0,0,NA,NA,NA,NA
"104","Preston City Council","E07000123",1,-1,0,NA,NA,NA,NA
"105","Mid Devon District Council","E07000042",0,0,0,NA,NA,NA,NA
"106","Somerset West and Taunton Council","E07000246",1,-9,-8,NA,NA,NA,NA
"107","North Lincolnshire Council","E06000013",0,0,0,NA,NA,NA,NA
"108","Test Valley Borough Council","E07000093",0,0,0,NA,NA,NA,NA
"109","Horsham District Council","E07000227",2,1,3,"apologies this was an error in compiling the data, the figure reported in December was 3490 but should have been 3491",NA,"apologies this was an error in compiling the data, the figure reported in December was 3490 but should have been 3491",NA
"110","Lewisham London Borough","E09000023",2,-2,0,NA,NA,NA,NA
"111","Tower Hamlets London Borough","E09000030",0,0,0,NA,NA,NA,NA
"112","Spelthorne Borough Council","E07000213",0,0,0,NA,NA,NA,NA
"113","Redditch Borough Council","E07000236",0,-2,-2,NA,NA,NA,NA
"114","Welwyn Hatfield Borough Council","E07000241",5,-3,2,NA,NA,NA,NA
"115","Bolsover District Council","E07000033",0,0,0,NA,NA,NA,NA
"116","St Albans City and District Council","E07000240",0,6,6,"No payments were made after 30th November. It appears a small number of payments made to those in Band E properties but are entitled to a band reduction and Council Tax Support are being now being reported as discretionary payments when previously they were reported as made under the Core Scheme.",NA,"No payments were made after 30th November. It appears a small number of payments made to those in Band E properties but are entitled to a band reduction and Council Tax Support are being now being reported as discretionary payments when previously they were reported as made under the Core Scheme.",NA
"117","Stafford Borough Council","E07000197",-1,-4,-5,NA,"A Discretionary award was made to a council tax payer in receipt of LCTR- the LCTR was cancelled and subsequently re-awarded following an Appeal from the council tax payer- the council tax payer was, therefore, still entitled to a discretionary payment",NA,"A Discretionary award was made to a council tax payer in receipt of LCTR- the LCTR was cancelled and subsequently re-awarded following an Appeal from the council tax payer- the council tax payer was, therefore, still entitled to a discretionary payment"
"118","Stockport Metropolitan Borough Council","E08000007",9,-9,0,NA,NA,NA,NA
"119","Huntingdonshire District Council","E07000011",1,-6,-5,NA,NA,NA,NA
"120","Havant Borough Council","E07000090",1,2,3,"there were two payments misclassified as Core Scheme that were actually Discretionary awards which we have identified since the December return.",NA,"there were two payments misclassified as Core Scheme that were actually Discretionary awards which we have identified since the December return.",NA
"121","Epping Forest District Council","E07000072",3,-123,-120,NA,NA,NA,NA
"122","Blackburn with Darwen Borough Council","E06000008",0,0,0,NA,NA,NA,NA
"123","Sedgemoor District Council","E07000188",30,0,30,NA,NA,NA,NA
"124","Worcester City Council","E07000237",0,0,0,NA,NA,NA,NA
"125","Walsall Metropolitan Borough Council","E08000030",0,0,0,NA,NA,NA,NA
"126","Eden District Council","E07000030",1,-1,0,NA,NA,NA,NA
"127","West Lancashire Borough Council","E07000127",1,-1,0,NA,NA,NA,NA
"128","Mole Valley District Council","E07000210",0,0,0,NA,NA,NA,NA
"129","Rochford District Council","E07000075",0,0,0,NA,NA,NA,NA
"130","East Cambridgeshire District Council","E07000009",1,-1,0,NA,NA,NA,NA
"131","West Suffolk Council","E07000245",0,0,0,NA,NA,NA,NA
"132","Cotswold District Council","E07000079",0,-1,-1,NA,NA,NA,NA
"133","Hounslow London Borough","E09000018",10,-4,6,NA,NA,NA,NA
"134","Arun District Council","E07000224",3,-3,0,NA,NA,NA,NA
"135","Copeland Borough Council","E07000029",4,0,4,NA,NA,NA,NA
"136","Salford City Council","E08000006",0,355,355,"The figure reported in December only included those eligible for the council's discretionary top up of £25.09. The figure of 25,083 now being reported also includes those eligible households who received discretionary payments of £150.00. They had been incorrectly included within the number reported for the core scheme in December instead.",NA,"The figure reported in December only included those eligible for the council's discretionary top up of £25.09. The figure of 25,083 now being reported also includes those eligible households who received discretionary payments of £150.00. They had been incorrectly included within the number reported for the core scheme in December instead.",NA
"137","Mid Sussex District Council","E07000228",0,0,0,NA,NA,NA,NA
"138","Ealing London Borough","E09000009",0,0,0,NA,NA,NA,NA
"139","Bristol City Council","E06000023",0,20,20,"Decembers return should have been 11,020 instead of 11,002 - therefore the actual difference should be 2 - these were missed.",NA,"Decembers return should have been 11,020 instead of 11,002 - therefore the actual difference should be 2 - these were missed.",NA
"140","Tandridge District Council","E07000215",0,-10,-10,NA,NA,NA,NA
"141","Darlington Borough Council","E06000005",0,0,0,NA,NA,NA,NA
"142","Nuneaton and Bedworth Borough Council","E07000219",1,-1,0,NA,NA,NA,NA
"143","North Warwickshire Borough Council","E07000218",0,0,0,NA,NA,NA,NA
"144","Tewkesbury Borough Council","E07000083",3,-3,0,NA,NA,NA,NA
"145","Hillingdon London Borough","E09000017",0,-3,-3,NA,NA,NA,NA
"146","Scarborough Borough Council","E07000168",0,0,0,NA,NA,NA,NA
"147","Castle Point Borough Council","E07000069",0,0,0,NA,NA,NA,NA
"148","Sutton London Borough","E09000029",2,-9,-7,NA,NA,NA,NA
"149","City of Bradford Metropolitan District Council","E08000032",4,0,4,NA,NA,NA,NA
"150","Babergh District Council","E07000200",0,0,0,NA,NA,NA,NA
"151","Watford Borough Council","E07000103",NA,NA,NA,NA,NA,NA,NA
"152","Thanet District Council","E07000114",0,0,0,NA,NA,NA,NA
"153","Charnwood Borough Council","E07000130",1,-9,-8,NA,NA,NA,NA
"154","Merton London Borough","E09000024",0,0,0,NA,NA,NA,NA
"155","Vale of White Horse District Council","E07000180",1,1,2,"payment misclassified as Core Scheme that were actually Discretionary awards which we have identified since the December return.",NA,"payment misclassified as Core Scheme that were actually Discretionary awards which we have identified since the December return.",NA
"156","Worthing Borough Council","E07000229",0,0,0,NA,NA,NA,NA
"157","Rochdale Metropolitan Borough Council","E08000005",1,-1,0,NA,NA,NA,NA
"158","Mansfield District Council","E07000174",10,-3,7,NA,NA,NA,NA
"159","Bromley London Borough","E09000006",0,-14,-14,NA,NA,NA,NA
